Cell number	consecutive orange&yellow	consecutive orange&yellow (min)
1	110	1.833333333
2	150	2.5
3	90	1.5
4	70	1.166666667
5	210	3.5
6	70	1.166666667
7	90	1.5
8	170	2.833333333
9	90	1.5
10	310	5.166666667
11	30	0.5
12	190	3.166666667
13	10	0.166666667
14	90	1.5
15	90	1.5
16	170	2.833333333
17	190	3.166666667
18	70	1.166666667
19	50	0.833333333
20	190	3.166666667
21	50	0.833333333
22	190	3.166666667
23	50	0.833333333
24	90	1.5
25	30	0.5
26	50	0.833333333
27	230	3.833333333
28	110	1.833333333
29	30	0.5
30	170	2.833333333
31	30	0.5
32	30	0.5
33	70	1.166666667
34	90	1.5
35	110	1.833333333
36	150	2.5
37	130	2.166666667
38	30	0.5
39	110	1.833333333
40	10	0.166666667
41	130	2.166666667
42	70	1.166666667
43	10	0.166666667
44	10	0.166666667
45	250	4.166666667
46	10	0.166666667
47	190	3.166666667
48	30	0.5
49	90	1.5
50	30	0.5
51	30	0.5
52	10	0.166666667
53	170	2.833333333
54	270	4.5
55	90	1.5
56	170	2.833333333
57	50	0.833333333
58	10	0.166666667
59	30	0.5
60	170	2.833333333
61	10	0.166666667
62	10	0.166666667
